year_of_manufacture,manufacturer,model,mileage,body_type,transmission,drivetrain,exterior_colour,interior_colour,passengers,doors,fuel_type,price,city_consumption,highway_consumption,engine_displacement_L,engine_cylinders,engine_type,car_state
2023,GMC,SIERRA,35.0,Truck,Automatic,4X4,black,black,5,4,diesel,106013.0,10.8,8.7,6.6,8.0,Inline,1
2023,Jeep,Wrangler,13.0,SUV,Automatic,4X4,black,black,5,4,gasoline,61425.0,11.5,9.9,2.0,4.0,Inline,1
2023,Kia,Carnival,125.0,Van,Automatic,FWD,white,black,8,4,gasoline,41545.0,10.8,8.7,2.4,6.0,Inline,1
2023,Chevrolet,Silverado,35.0,Truck,Automatic,4X4,white,black,6,4,gasoline,62483.0,12.9,11.5,2.7,4.0,Inline,1
2022,Jeep,Grand,250.0,SUV,Automatic,4X4,white,black,5,4,electric,81214.0,0.0,9.7,2.4,0.0,Electric,1
2023,Mazda,CX-5,3251.0,SUV,Automatic,4X4,red,black,5,4,gasoline,33828.0,9.8,7.9,2.5,4.0,Inline,1
2017,Kia,Sportage,93808.0,SUV,Automatic,4X4,red,black,5,4,gasoline,20495.0,11.3,9.5,2.4,4.0,Inline,1
2017,Nissan,Rogue,124000.0,SUV,CVT,4X4,black,black,5,4,gasoline,18950.0,9.6,7.4,2.4,4.0,Inline,2
1999,Ford,F-150,203000.0,Truck,Automatic,RWD,black,black,5,4,gasoline,4958.75,10.8,8.7,2.4,4.0,Inline,2
2022,Ford,F-250,250.0,Truck,Automatic,4X4,black,black,5,4,diesel,110943.0,10.8,8.7,6.7,8.0,V-Engine,1
2018,Mazda,Mazda3,71393.0,Hatchback,Automatic,FWD,blue,black,5,4,gasoline,19498.0,8.5,6.4,2.4,4.0,Other,1
2017,Honda,CR-V,36409.0,SUV,Automatic,4X4,white,black,5,4,gasoline,31899.0,8.7,7.2,1.5,4.0,Inline,1
2017,Porsche,Macan,80823.0,SUV,Automatic,4X4,white,red,5,4,gasoline,57800.0,10.8,8.7,2.4,6.0,Inline,1
2022,Ford,Bronco,23.0,SUV,Automatic,4X4,other,black,5,4,gasoline,43744.0,9.3,8.4,2.4,3.0,Inline,1
2023,Audi,Q8,90.0,SUV,Automatic,4X4,white,black,5,4,gasoline,96003.0,10.8,8.7,3.0,6.0,Inline,1
2016,Buick,Encore,152881.0,SUV,Automatic,4X4,black,black,5,4,gasoline,9666.0,10.2,8.0,1.4,4.0,Inline,2
2013,Mazda,Mazda3,163000.0,Sedan,Automatic,FWD,gray,black,5,4,gasoline,6645.75,8.45,6.0,2.4,4.0,Inline,3
2008,Volkswagen,Beetle,84000.0,Coupe,Automatic,FWD,red,brown,4,2,gasoline,9210.0,10.4,6.949999999999999,2.5,4.0,Other,2
1999,Porsche,Boxster,138100.0,Convertible,Manual,RWD,gray,black,2,2,gasoline,15744.234999999999,13.100000000000001,9.4,2.5,4.0,Other,3
2015,Honda,Civic,157477.0,Sedan,CVT,FWD,silver,black,5,4,gasoline,13388.0,7.9,6.1,2.4,4.0,Inline,2
2018,Jeep,Wrangler,50273.0,SUV,Automatic,4X4,black,black,5,4,gasoline,32288.0,13.25,10.0,3.6,6.0,V-Engine,1
2019,Nissan,Rogue,150000.0,SUV,CVT,4X4,white,black,5,4,gasoline,11148.115,9.6,7.5,2.4,4.0,Inline,3
2023,Audi,Q5,90.0,SUV,Automatic,4X4,black,black,5,4,gasoline,57903.0,10.8,8.7,2.0,4.0,Inline,1
2022,Ford,Bronco,90.0,SUV,Automatic,4X4,black,black,5,4,gasoline,36169.0,9.3,8.4,2.4,3.0,Inline,1
2020,Ford,F-250,58928.0,Truck,Automatic,4X4,black,black,5,4,gasoline,59300.0,10.8,8.7,2.4,8.0,Inline,1
2019,Mercedes-Benz,GLC-Class,52666.0,SUV,Automatic,4X4,blue,black,5,4,gasoline,40800.0,11.0,8.7,2.4,4.0,Inline,1
2018,Audi,Q7,129270.0,SUV,Automatic,4X4,gray,black,7,4,gasoline,28299.0,12.6,9.4,2.4,6.0,V-Engine,2
2015,Kia,Soul,128000.0,SUV,Automatic,FWD,silver,black,5,4,gasoline,12995.0,10.8,8.7,2.4,4.0,Other,2
2013,Volkswagen,Golf,190000.0,SUV,Automatic,4X4,black,black,5,4,gasoline,6105.0,10.8,8.7,2.4,4.0,Inline,2
2023,Hyundai,Elantra,12.0,Sedan,CVT,FWD,white,black,5,4,gasoline,26197.0,7.6,5.7,2.0,4.0,Inline,1
2019,Buick,Enclave,76989.0,SUV,Automatic,4X4,black,brown,7,4,gasoline,40094.0,10.8,8.7,2.4,6.0,V-Engine,1
2016,Ford,Fusion,122444.0,Sedan,Automatic,FWD,gray,black,5,4,hybrid,21485.0,5.8,6.5,2.0,4.0,Other,2
2017,Porsche,Cayenne,154000.0,SUV,Automatic,4X4,black,black,5,4,gasoline,19290.5625,13.9,9.6,3.6,4.0,Other,3
2023,Mazda,CX-9,100.0,SUV,Automatic,4X4,red,black,6,4,gasoline,54226.0,11.6,9.1,2.4,4.0,Inline,1
2023,Ford,Explorer,95.0,SUV,Automatic,4X4,black,black,5,4,gasoline,59901.0,11.7,8.6,2.3,4.0,Inline,1
2022,Ford,Escape,250.0,SUV,Automatic,FWD,blue,black,5,4,hybrid,46703.0,5.4,6.3,2.5,4.0,Hybrid,1
2022,Porsche,Cayenne,10340.0,SUV,High-Performance,4X4,red,black,5,4,gasoline,103800.0,12.5,10.3,2.4,6.0,Inline,1
2022,BMW,3,36620.0,Sedan,Automatic,4X4,black,black,5,4,gasoline,50880.0,10.8,8.7,2.4,4.0,Inline,1
2022,Alfa Romeo,Romeo,90.0,Sedan,Automatic,RWD,other,black,5,2,gasoline,99888.0,13.5,9.3,2.9,6.0,Inline,1
2014,Audi,S4,133944.0,Sedan,Automatic,4X4,gray,black,5,4,gasoline,17699.15,11.7,7.7,2.4,6.0,V-Engine,3
2023,Jeep,Grand,12.0,SUV,Automatic,4X4,white,black,5,4,gasoline,85123.0,10.8,8.7,5.7,8.0,V-Engine,1
2019,Volkswagen,Jetta,48800.0,Sedan,Manual,FWD,red,black,5,4,gasoline,34995.0,10.8,8.7,2.0,4.0,Other,1
2022,Ford,Bronco,0.0,SUV,Automatic,4X4,blue,black,5,4,gasoline,54179.0,12.95,12.149999999999999,2.3,4.0,Other,1
2023,Nissan,Murano,150.0,Wagon,Automatic,4X4,white,black,5,4,gasoline,50418.0,12.0,8.5,2.4,6.0,V-Engine,1
2018,Dodge,Durango,57322.0,SUV,Automatic,4X4,black,black,5,4,gasoline,47240.0,16.7,10.9,5.7,8.0,Inline,1
2019,Tesla,Model,106000.0,Sedan,Automatic,RWD,gray,black,5,4,electric,35749.2,0.0,8.7,0.0,0.0,Electric,2
2013,GMC,Yukon,178000.0,SUV,Automatic,4X4,red,black,5,4,hybrid,12058.5,10.8,8.7,2.4,8.0,Inline,2
2021,Mercedes-Benz,GLA45,31648.0,SUV,Automatic,4X4,white,black,5,4,gasoline,71955.0,11.6,8.8,2.4,4.0,Inline,1
2020,Hyundai,Santa,35785.0,SUV,Automatic,4X4,silver,black,5,4,gasoline,36899.0,12.0,9.2,2.0,4.0,Inline,1
2018,Dodge,Grand,128999.0,Van,Automatic,FWD,blue,black,5,4,gasoline,18400.0,13.7,9.4,3.6,6.0,V-Engine,2
2021,Mercedes-Benz,GLE-Class,44231.0,SUV,Automatic,4X4,white,brown,5,4,gasoline,99800.0,10.8,8.7,2.4,6.0,Inline,1
2023,Jeep,Wrangler,10.0,SUV,Automatic,4X4,black,black,5,4,gasoline,57665.0,11.5,10.05,2.0,4.0,Inline,1
2019,Ford,Explorer,59273.0,SUV,Automatic,4X4,metallic,black,5,2,gasoline,37488.0,13.1,9.2,2.3,4.0,Inline,1
2021,Infiniti,QX50,24350.0,SUV,Automatic,4X4,black,black,5,4,gasoline,44345.0,10.8,8.3,2.4,4.0,Inline,1
2020,Rolls-Royce,Cullinan,8957.0,SUV,Automatic,4X4,black,black,5,4,gasoline,599999.0,19.6,11.8,2.4,12.0,Inline,1
2007,Kia,Sportage,179500.0,SUV,Automatic,FWD,blue,black,5,4,gasoline,2655.0,10.8,8.7,2.4,4.0,Inline,3
2022,Chrysler,Pacifica,21258.0,Van,CVT,FWD,metallic,black,5,4,hybrid,58999.0,8.0,7.9,3.6,6.0,V-Engine,1
2023,Audi,A5,90.0,Hatchback,Automatic,4X4,white,black,5,4,gasoline,59653.0,10.8,8.7,2.0,4.0,Inline,1
2012,Ford,Escape,187600.0,SUV,Automatic,4X4,gray,gray,4,4,gasoline,5499.0,11.5,8.7,2.4,6.0,V-Engine,2
2022,Nissan,Frontier,14735.0,Truck,Automatic,4X4,red,gray,5,2,gasoline,38999.0,13.7,10.6,3.8,6.0,Inline,1
2017,Volvo,XC90,76000.0,SUV,Automatic,4X4,gray,black,7,4,gasoline,41000.0,11.5,9.6,2.0,4.0,Other,2
2023,Mazda,CX-30,100.0,SUV,Automatic,4X4,silver,black,5,4,gasoline,34776.0,9.0,7.1,2.4,4.0,Inline,1
2019,Jaguar,E-Pace,63211.0,SUV,Automatic,4X4,black,brown,5,4,gasoline,43888.0,11.2,8.6,2.4,4.0,Inline,2
2023,Chrysler,Grand,0.0,Van,Automatic,FWD,white,black,5,4,gasoline,49940.0,12.4,8.4,2.4,6.0,V-Engine,1
2022,GMC,Sierra,35.0,Truck,Automatic,4X4,black,black,6,2,gasoline,52985.0,16.0,13.0,2.7,4.0,Other,1
2017,Mitsubishi,Mirage,152698.0,Hatchback,CVT,FWD,white,black,5,4,gasoline,7799.200000000001,6.75,5.65,1.2,3.0,Inline,2
2016,Mercedes-Benz,Metris,139000.0,Van,Automatic,FWD,silver,black,8,4,gasoline,28495.0,11.5,10.2,2.4,4.0,Inline,2
2018,Honda,Civic,147409.0,Sedan,CVT,FWD,black,brown,5,4,gasoline,17571.82,7.4,5.6,1.5,4.0,Inline,3
2020,Audi,S5,43523.0,Coupe,Automatic,4X4,white,black,5,2,gasoline,60988.0,11.8,8.9,2.4,6.0,V-Engine,1
2023,Alfa Romeo,Romeo,95.0,SUV,Automatic,4X4,red,black,5,2,gasoline,73610.0,10.8,8.3,2.0,4.0,Inline,1
2003,Volkswagen,GTI,123205.0,Coupe,Manual,FWD,black,black,5,2,gasoline,14000.0,10.8,8.7,2.4,4.0,Inline,2
2019,Mercedes-Benz,A-Class,55000.0,Hatchback,Automatic,4X4,red,black,5,4,gasoline,35950.0,9.4,6.8,2.0,4.0,Other,2
2019,Hyundai,Tucson,80567.0,SUV,Automatic,FWD,white,black,5,4,gasoline,23985.0,10.0,7.9,2.4,4.0,Inline,2
2022,Hyundai,Elantra,21102.0,Sedan,Automatic,FWD,black,black,5,4,gasoline,28795.0,7.6,5.7,2.4,4.0,Inline,1
2015,Ford,Mustang,122000.0,Coupe,Automatic,RWD,white,black,4,2,gasoline,22495.0,10.8,7.45,2.4,4.0,Inline,2
2019,Honda,CR-V,51920.0,SUV,CVT,4X4,gray,black,5,4,gasoline,32888.0,8.7,7.2,1.5,4.0,Inline,1
2023,GMC,Sierra,35.0,Truck,Automatic,4X4,black,black,5,4,diesel,102918.0,10.8,8.7,6.6,8.0,Inline,1
2015,Chevrolet,Camaro,22979.0,Convertible,Manual,RWD,red,black,4,2,gasoline,66999.0,10.8,8.7,2.4,8.0,Inline,1
2017,Honda,Accord,66332.0,Sedan,CVT,FWD,silver,black,5,4,gasoline,21995.0,8.7,6.6,2.4,4.0,Other,2
2019,Hyundai,Santa,90729.0,SUV,Automatic,4X4,red,black,5,4,gasoline,22231.2,11.2,8.7,2.4,4.0,Inline,2
2019,Volkswagen,Jetta,46987.0,Sedan,Automatic,FWD,gray,black,5,4,gasoline,30490.0,10.8,8.7,2.4,4.0,Inline,1
2023,Jeep,Grand,16.0,SUV,Automatic,4X4,red,black,5,4,gasoline,86310.0,12.3,9.2,3.6,6.0,V-Engine,1
2015,Volkswagen,Tiguan,142679.0,SUV,Automatic,FWD,white,black,5,4,gasoline,13450.0,11.5,9.3,2.4,4.0,Inline,2
2020,Volvo,XC60,53541.0,SUV,Automatic,4X4,white,black,5,4,gasoline,52400.0,10.8,8.7,2.4,4.0,Inline,1
2023,Dodge,Charger,0.0,Sedan,Automatic,4X4,black,black,5,4,gasoline,62505.0,12.8,8.7,2.4,6.0,V-Engine,1
2023,Nissan,Sentra,0.0,Sedan,CVT,FWD,other,gray,5,4,gasoline,28997.0,8.0,6.0,2.4,4.0,Inline,1
2023,Dodge,Challenger,12.0,Coupe,Automatic,4X4,white,black,5,4,gasoline,53333.0,12.8,8.7,3.6,6.0,V-Engine,1
2019,Chevrolet,Equinox,59705.0,SUV,Automatic,4X4,white,black,5,4,gasoline,25795.0,9.8,7.9,2.4,4.0,Inline,1
2020,Ford,F-250,150000.0,Truck,Automatic,4X4,black,black,5,4,diesel,41500.0,10.8,8.7,2.4,4.0,Inline,3
2018,Volvo,XC90,91428.0,SUV,Automatic,4X4,black,black,5,4,gasoline,40299.2,11.5,8.8,2.4,4.0,Inline,1
2010,Mazda,Mazda3,189211.0,Sedan,Automatic,FWD,gray,black,5,4,gasoline,4888.0,8.399999999999999,5.95,2.4,4.0,Inline,2
2023,Audi,Q5,90.0,SUV,Automatic,4X4,white,black,5,4,gasoline,56931.0,10.8,8.7,2.0,4.0,Inline,1
2023,Jeep,Wrangler,17.0,SUV,Automatic,4X4,other,black,5,4,gasoline,62018.0,10.8,8.7,3.6,6.0,V-Engine,1
2015,Nissan,Rogue,159900.0,SUV,Automatic,4X4,black,black,5,4,gasoline,14495.0,9.5,7.4,2.4,4.0,Inline,2
2017,Volkswagen,Passat,170000.0,Sedan,Automatic,FWD,gray,black,5,4,gasoline,8323.888,10.1,7.0,2.4,4.0,Inline,3
2020,Chevrolet,Spark,18707.0,Hatchback,CVT,FWD,black,black,5,4,gasoline,19776.0,7.9,6.2,2.4,4.0,Inline,1
2018,Nissan,Pathfinder,109225.0,SUV,CVT,4X4,black,black,7,4,gasoline,25088.0,12.25,9.05,3.5,6.0,Inline,2
2018,Nissan,Murano,67113.0,SUV,CVT,4X4,black,black,5,4,gasoline,29998.0,11.2,8.4,2.4,6.0,V-Engine,1
2015,Ford,Focus,46890.0,Hatchback,Automatic,FWD,brown,black,5,4,gasoline,14588.0,10.8,8.7,2.4,3.0,Inline,1
2020,Honda,CR-V,51002.0,SUV,CVT,4X4,black,black,5,4,gasoline,39198.0,8.7,7.4,1.5,4.0,Inline,1
2023,Kia,Forte,150.0,Sedan,CVT,FWD,black,black,5,4,gasoline,28153.0,10.8,8.7,2.4,4.0,Inline,1
2020,Ford,Explorer,43051.0,SUV,Automatic,4X4,blue,black,6,4,gasoline,41800.0,11.6,8.7,2.3,4.0,Inline,1
2023,Alfa Romeo,Romeo,65.0,SUV,Automatic,4X4,white,black,5,4,gasoline,71099.0,10.8,8.3,2.4,4.0,Inline,1
2022,Tesla,Model,5686.0,Sedan,Automatic,4X4,white,white,5,4,electric,144880.0,0.0,8.7,0.0,0.0,Electric,1
2022,Hyundai,IONIQ,15000.0,SUV,Automatic,RWD,white,black,5,4,electric,54500.0,0.0,8.7,0.0,0.0,Electric,1
2017,Mercedes-Benz,S-Class,91400.0,Sedan,Automatic,4X4,white,black,5,4,gasoline,51495.0,12.6,8.6,3.0,6.0,Inline,1
2018,Nissan,Rogue,97972.0,SUV,Automatic,4X4,black,black,5,4,gasoline,22495.0,9.7,7.4,2.4,4.0,Inline,1
2023,MINI,COOPER,90.0,Hatchback,Automatic,FWD,green,black,5,4,gasoline,44713.0,8.5,6.2,2.4,4.0,Inline,1
2019,Mercedes-Benz,C-Class,63912.0,Wagon,Automatic,4X4,silver,black,5,4,gasoline,41388.0,10.9,7.7,2.0,4.0,Other,2
2023,Audi,Q5,3000.0,SUV,Automatic,4X4,blue,black,5,4,gasoline,68221.0,10.8,8.7,2.0,4.0,Inline,1
2020,Volkswagen,Tiguan,65862.0,SUV,Automatic,4X4,black,black,5,4,gasoline,29660.0,11.5,8.7,2.4,4.0,Inline,2
2023,Kia,Carnival,125.0,Van,Automatic,FWD,white,black,7,4,gasoline,45545.0,10.8,8.7,2.4,6.0,Inline,1
2018,Buick,Encore,130151.0,SUV,Automatic,4X4,other,black,5,4,gasoline,13390.95,10.8,8.7,2.4,4.0,Inline,2
2020,Chevrolet,Silverado,35000.0,Truck,Automatic,4X4,white,black,5,4,gasoline,46000.0,15.9,11.8,2.4,8.0,Inline,1
2023,Chevrolet,Silverado,10.0,Truck,Automatic,4X4,white,black,5,4,gasoline,78768.0,16.8,11.8,6.2,8.0,V-Engine,1
2023,Kia,Telluride,150.0,SUV,Automatic,4X4,gray,black,6,4,gasoline,64845.0,10.8,8.7,2.4,6.0,Inline,1
2022,Audi,Q3,13966.0,SUV,Automatic,4X4,blue,black,5,4,gasoline,48588.0,11.4,8.3,2.4,4.0,Inline,1
2020,Hyundai,Kona,6068.0,SUV,Automatic,4X4,brown,gray,5,4,gasoline,30769.0,9.0,8.0,2.4,4.0,Inline,1
2021,Jeep,Gladiator,25009.0,SUV,Automatic,4X4,black,black,5,4,gasoline,63880.0,14.0,10.55,2.4,6.0,V-Engine,1
2023,Chevrolet,Bolt,3875.0,Wagon,Automatic,FWD,gray,black,4,4,electric,44861.0,0.0,8.7,0.0,0.0,Electric,1
2017,Jaguar,F-Type,57600.0,Coupe,Automatic,RWD,white,black,2,2,gasoline,57777.0,12.4,8.8,2.4,6.0,V-Engine,1
2022,Ford,Mustang,250.0,Coupe,Automatic,RWD,black,black,5,2,gasoline,66414.0,15.75,9.9,5.0,8.0,V-Engine,1
2019,Mazda,Mazda3,59000.0,Sedan,Automatic,FWD,gray,black,5,4,gasoline,26850.0,8.8,6.6,2.4,4.0,Inline,1
2015,Audi,Q3,140232.0,SUV,Automatic,FWD,white,black,5,4,gasoline,19250.0,10.8,8.7,2.4,4.0,Inline,1
2020,Ford,Edge,59012.0,SUV,Automatic,4X4,brown,beige,5,2,gasoline,41995.0,12.5,9.2,2.7,6.0,Inline,1
2018,Porsche,Macan,51700.0,SUV,Automatic,4X4,white,red,5,4,gasoline,62800.0,13.8,10.3,2.4,6.0,Inline,1
2023,Jeep,Wrangler,0.0,SUV,Automatic,4X4,gray,black,5,4,hybrid,73110.0,11.6,11.9,2.4,4.0,Inline,1
2010,Ford,F-150,230000.0,Truck,Automatic,4X4,other,black,5,4,gasoline,7898.200000000001,15.9,11.3,2.4,8.0,Inline,2
2012,Volkswagen,Eos,36701.0,Convertible,Automatic,FWD,red,beige,5,2,gasoline,19480.0,9.5,6.7,2.0,4.0,Other,2
2022,Ford,Mustang,1.0,Coupe,Automatic,RWD,gray,black,5,2,gasoline,86490.0,15.950000000000001,10.3,5.0,8.0,V-Engine,1
2018,Chevrolet,Colorado,142000.0,Truck,Automatic,4X4,white,black,5,4,gasoline,29500.0,10.8,8.7,2.4,4.0,Inline,2
1999,Jaguar,XK8,89000.0,Convertible,Automatic,RWD,yellow,black,5,2,gasoline,14215.0,10.8,8.7,2.4,4.0,Inline,3
2018,Chevrolet,Malibu,90119.0,Sedan,Automatic,4X4,white,black,5,4,gasoline,19498.4,10.8,8.7,2.4,4.0,Inline,1
2023,Audi,Q5,90.0,SUV,Automatic,4X4,white,black,5,4,gasoline,69653.0,10.8,8.7,2.0,4.0,Inline,1
2021,Chevrolet,SILVERADO,12588.0,Truck,Automatic,4X4,silver,black,5,4,diesel,72985.0,10.8,8.7,6.6,8.0,Inline,1
2021,Ford,Escape,24000.0,SUV,Automatic,4X4,black,gray,5,4,gasoline,30777.0,9.0,7.6,2.4,3.0,Inline,1
2001,Ford,1,450000.0,Truck,Automatic,RWD,black,black,5,2,diesel,500.0,10.8,8.7,2.4,4.0,Inline,3
2012,Hyundai,Accent,228322.0,Hatchback,Automatic,FWD,blue,black,5,4,gasoline,693.625,7.1,5.25,1.6,4.0,Inline,3
2020,Honda,Civic,29984.0,Sedan,Automatic,FWD,black,black,5,4,gasoline,31499.0,7.8,6.2,1.5,4.0,Other,1
2017,Alfa Romeo,Romeo,97000.0,Sedan,Automatic,4X4,black,red,5,4,gasoline,27495.0,10.5,7.7,2.4,4.0,Other,1
2023,Jeep,Wrangler,250.0,SUV,Automatic,4X4,green,black,5,4,gasoline,62489.0,11.5,10.05,2.0,4.0,V-Engine,1
2018,Honda,CR-V,116448.0,SUV,CVT,4X4,blue,black,5,4,gasoline,29188.0,8.7,7.2,1.5,4.0,Inline,2
2020,Subaru,WRX,50882.0,Sedan,Manual,4X4,black,black,5,4,gasoline,44998.0,14.7,10.7,2.5,4.0,Other,1
2011,Bentley,Continental,94179.0,Sedan,Automatic,4X4,gray,black,4,4,gasoline,62898.0,10.8,8.7,2.4,12.0,Inline,2
2013,Dodge,Caravan,268000.0,Van,Automatic,FWD,white,black,5,4,gasoline,500.0,10.8,8.7,2.4,4.0,Inline,3
2019,Acura,TLX,34396.0,Sedan,Automatic,4X4,black,brown,5,4,gasoline,36499.0,11.4,7.7,3.5,6.0,Inline,1
2021,Infiniti,QX50,18251.0,SUV,Automatic,4X4,black,gray,5,4,gasoline,41115.0,10.8,8.3,2.4,4.0,Inline,1
2017,Nissan,Rogue,153528.0,SUV,CVT,4X4,black,black,5,4,gasoline,12216.82,9.6,7.4,2.5,4.0,Inline,3
2013,Jeep,WRANGLER,101112.0,SUV,Automatic,4X4,black,black,5,4,gasoline,25450.0,13.3,9.8,3.6,4.0,Other,1
2023,Honda,Odyssey,58.0,Van,Automatic,FWD,gray,black,5,4,gasoline,59140.0,12.2,8.5,2.4,6.0,V-Engine,1
2015,Honda,CR-V,106000.0,SUV,Automatic,4X4,gray,black,5,4,gasoline,21495.0,9.1,7.2,2.4,4.0,Inline,2
2019,Volvo,XC90,74780.0,SUV,Automatic,4X4,silver,black,5,2,gasoline,44380.0,10.8,8.7,2.4,4.0,Inline,1
2023,Volkswagen,Atlas,90.0,SUV,Automatic,4X4,white,black,6,4,gasoline,61675.0,13.4,10.1,2.4,6.0,V-Engine,1
2019,Jaguar,F-Pace,63162.0,SUV,Automatic,4X4,black,black,5,4,gasoline,48990.0,10.7,8.8,2.4,4.0,Other,2
1988,Honda,Accord,5600.0,Coupe,Manual,FWD,black,black,5,2,gasoline,15700.0,10.8,8.7,2.4,4.0,Inline,4
2014,Volkswagen,Passat,201000.0,Sedan,Automatic,FWD,black,black,5,4,diesel,10595.5,6.85,4.65,2.0,4.0,Other,2
2015,Hyundai,Sonata,137000.0,Sedan,Automatic,FWD,silver,black,5,4,gasoline,13990.0,9.8,6.7,2.4,4.0,Other,2
2022,Dodge,Durango,19336.0,SUV,Automatic,4X4,black,black,5,4,gasoline,57420.0,12.7,9.6,3.6,6.0,V-Engine,1
2015,Nissan,Sentra,94502.0,Sedan,Automatic,FWD,white,black,5,4,gasoline,12995.0,8.45,6.35,1.8,4.0,Other,1
2019,Ford,F-150,76385.0,Truck,Automatic,4X4,white,beige,5,4,gasoline,47000.0,13.8,11.2,2.4,6.0,V-Engine,1
2023,Ford,Bronco,34.0,SUV,Automatic,4X4,blue,black,5,4,gasoline,47541.0,9.3,8.4,1.5,4.0,Other,1
2019,Dodge,Grand,101330.0,Van,Automatic,FWD,metallic,black,6,4,gasoline,25485.0,13.7,9.4,3.6,4.0,Other,2
2023,Ford,F-150,0.0,SUV,Automatic,4X4,black,black,5,4,gasoline,86099.0,10.8,8.7,2.4,4.0,Inline,1
2013,Hyundai,Sonata,249000.0,Sedan,Automatic,FWD,silver,black,5,4,gasoline,2775.0,10.8,8.7,2.4,4.0,Inline,2
2016,Volvo,XC90,153000.0,SUV,Automatic,4X4,silver,black,7,4,gasoline,23295.5,11.5,9.5,2.4,4.0,Inline,1
2023,Nissan,Maxima,24.0,Sedan,CVT,FWD,white,beige,5,4,gasoline,53236.0,11.6,7.9,2.4,6.0,V-Engine,1
2017,Porsche,911,24633.0,Convertible,Automatic,4X4,white,black,5,2,gasoline,158800.0,10.8,8.7,2.4,6.0,Inline,1
2019,Dodge,Challenger,25522.0,Coupe,Automatic,RWD,green,brown,5,4,gasoline,109998.0,17.6,10.7,2.4,8.0,V-Engine,1
2020,Honda,Insight,35333.0,Compact,CVT,FWD,silver,black,5,4,hybrid,38398.0,4.6,5.3,1.5,4.0,Inline,1
2020,Audi,Q8,56000.0,SUV,Automatic,4X4,white,black,5,4,hybrid,73950.0,13.8,11.4,0.0,0.0,Electric,1
2018,Honda,Accord,67600.0,Sedan,Automatic,FWD,red,black,5,4,gasoline,25498.2,8.2,6.8,2.4,4.0,Inline,2
2019,Infiniti,QX50,84689.0,SUV,CVT,4X4,black,black,5,4,gasoline,30888.0,10.0,7.8,2.0,4.0,Inline,1
2023,Mazda,CX-9,99.0,SUV,Automatic,4X4,blue,black,5,4,gasoline,56228.0,11.6,9.1,2.5,4.0,Inline,1
2021,Honda,Civic,21320.0,Sedan,CVT,FWD,silver,black,5,4,gasoline,22471.0,8.2,6.5,2.4,4.0,Inline,1
2018,Bentley,Bentayga,27287.0,SUV,Automatic,4X4,black,black,5,4,gasoline,239498.0,19.6,12.4,2.4,12.0,Inline,2
2022,Hyundai,Kona,10151.0,SUV,Automatic,FWD,black,black,5,4,electric,47555.0,0.0,8.7,0.0,0.0,Electric,1
2018,Honda,Civic,16068.0,Hatchback,Manual,FWD,red,black,5,4,gasoline,49995.0,10.6,8.3,2.4,4.0,Inline,1
2016,Porsche,911,22077.0,Coupe,Automatic,4X4,blue,beige,4,2,gasoline,149995.0,12.9,9.0,2.4,6.0,Inline,1
2017,Hyundai,Veloster,87562.0,Coupe,Automatic,FWD,silver,black,4,3,gasoline,17999.0,8.55,6.800000000000001,2.4,4.0,Inline,1
2020,Hyundai,Kona,30560.0,SUV,Automatic,4X4,other,black,5,4,gasoline,31888.0,9.0,8.0,1.6,4.0,Inline,1
2019,Audi,A6,49329.0,Sedan,Automatic,4X4,gray,black,5,4,gasoline,49399.0,10.8,8.7,2.4,6.0,V-Engine,1
2022,Ferrari,F8,327.0,Coupe,Automatic,RWD,white,black,5,4,gasoline,599987.0,15.7,13.1,2.4,8.0,Inline,1
2013,BMW,X5,146560.0,SUV,Automatic,4X4,black,brown,5,4,gasoline,12045.5,13.1,8.6,3.0,4.0,Other,1
2023,BMW,4,90.0,Convertible,Automatic,4X4,blue,black,5,4,gasoline,80124.0,10.1,7.1,2.4,4.0,Inline,1
2019,Nissan,Pathfinder,89518.0,SUV,Automatic,4X4,black,black,7,4,gasoline,29400.0,12.25,9.05,2.4,6.0,V-Engine,1
2010,Ford,Expedition,223000.0,SUV,Automatic,4X4,black,black,5,4,gasoline,7725.0,10.8,8.7,2.4,4.0,Inline,2
2014,Acura,TL,167760.0,Sedan,Automatic,FWD,white,beige,5,4,gasoline,13900.0,10.4,6.8,3.5,4.0,Other,1
2020,Mitsubishi,Eclipse,24421.0,SUV,CVT,4X4,black,black,5,4,gasoline,29998.0,9.6,8.9,1.5,4.0,Inline,1
2005,Subaru,Forester,203000.0,SUV,Automatic,4X4,red,black,5,4,gasoline,2550.0,10.8,8.7,2.4,4.0,Inline,2
2016,Audi,Q3,124105.0,SUV,Automatic,4X4,white,black,5,4,gasoline,18994.0,11.9,8.4,2.0,4.0,Inline,2
2012,Chevrolet,Camaro,98000.0,Convertible,Automatic,RWD,black,black,4,2,gasoline,21388.0,10.8,8.7,2.4,6.0,V-Engine,2
2018,BMW,X4,61760.0,SUV,Automatic,4X4,black,black,5,4,gasoline,43800.0,12.7,9.1,3.0,6.0,Inline,1
2017,GMC,Terrain,130652.0,SUV,Automatic,FWD,black,black,5,4,gasoline,9961.175,10.8,8.7,2.4,4.0,Inline,3
2023,Nissan,Murano,16380.0,SUV,CVT,4X4,metallic,black,5,4,gasoline,46995.0,12.0,8.5,2.4,6.0,V-Engine,1
